,EC,atom,min,1st quartile,median,3rd quartile,max,mean,std,fails
0,1,O,0.00012037969523484999,0.007482403702514342,0.009347945195786538,0.011443990312792382,0.016881488107274432,0.009481019986718879,0.0025850617147503605,0
1,1,N,8.694089100294722e-05,0.005333449148844982,0.006075540209578606,0.0068539304633564,0.013652774876072441,0.006009527025824416,0.0011163555038117684,0
2,1,S,0.0,0.00011712064022826118,0.000171833787955566,0.0002308555148863431,0.006826387438036221,0.00018244171684341233,0.00013046026524027044,0
3,1,C,0.005899768672020279,0.02057614871502445,0.023132002159212958,0.026138163271534648,0.05802429322330787,0.023022493955192624,0.004211875664767412,0
4,2,O,0.0,0.006688957903568492,0.008649909234293993,0.010361369347306212,0.02211255231012526,0.008585737315972538,0.0024931650435304474,0
5,2,N,0.0,0.00503432014322185,0.005946696928692798,0.006528219614796431,0.01602867548405905,0.005831214952760389,0.001273481520074709,0
6,2,S,0.0,0.0001216969330540483,0.00017350052528310544,0.00023749706397322245,0.0014577661937663227,0.00020664496673533823,0.00016309079937381867,0
7,2,C,0.0033225871905880546,0.019274257078428454,0.02282743655226289,0.025349416135712313,0.05639285827238294,0.022278345452560182,0.004632128306090781,0
8,3,O,0.0,0.007468170832528558,0.009835366279365397,0.011920115552796554,0.017316799014853442,0.009711472464772034,0.002760430544068739,1
9,3,N,0.0,0.005450476346105396,0.00632938481219163,0.007334143633793117,0.010699048737035024,0.006380274594638761,0.001382616519312751,1
10,3,S,0.0,0.00011592562324349709,0.0001757215441329473,0.00025795891529745195,0.001176046163079285,0.0002074177000932925,0.00013726422089840282,1
11,3,C,0.0007188902212401912,0.020886495842545698,0.024521829834439214,0.027967541721795552,0.037568252173490455,0.02420486416904567,0.00480297402256871,1
12,4,O,0.002093535063384419,0.008080096576093149,0.00995978447273315,0.01155648663472401,0.016044439586689916,0.0097810234213263,0.0023840431084749245,0
13,4,N,0.0017056801463784634,0.005616916407594921,0.006290518822564268,0.007230203269130957,0.009505755207533068,0.006265657449411928,0.0010901152678967063,0
14,4,S,0.0,8.754304592761661e-05,0.00014861454240355445,0.00019961086180438672,0.0004224452399453759,0.0001502479102774308,7.324766739625679e-05,0
15,4,C,0.006669929254572114,0.021425365786430308,0.02406975620907816,0.02749091519041442,0.03454734822121049,0.023890772207548545,0.004150118334818753,0
16,5,O,0.002452598372670394,0.007719058772088042,0.009335125740121231,0.011229197191827814,0.016800462278219835,0.009316149601397011,0.00264180187155255,0
17,5,N,0.0020568105048119766,0.005076861451533278,0.00604379362006677,0.006711240780368813,0.009466906200748018,0.005881959802456874,0.001288773975535081,0
18,5,S,0.0,8.589213353587331e-05,0.0001342385241451894,0.00019112696846740923,0.0009427464776187314,0.00014761684629778556,9.242396358080539e-05,0
19,5,C,0.007707774519739079,0.01966915123896488,0.023215085861402942,0.0257617037999701,0.03491198306763105,0.022498204289434075,0.004806894291585808,0
20,6,O,0.0013959170212069745,0.005767697417431864,0.006954099784607696,0.008533287140312418,0.017532974071930826,0.007251356053852632,0.0022058749438416303,1
21,6,N,0.001251511812116598,0.004694313942166702,0.005664717634222272,0.00636451314040536,0.009572438451656297,0.005556413188838149,0.0012868200164170578,1
22,6,S,3.183308023598008e-05,0.0001523192303209632,0.00025217712799040606,0.0005250851651362742,0.0012050747510969767,0.0003456830699586269,0.00023827579668670213,1
23,6,C,0.0044971907973860165,0.01767805161380031,0.020939749709166556,0.02375725280714898,0.03493446610192092,0.02070252839065843,0.00468068396233348,1
24,7,O,0.005216581663301598,0.006883723192512679,0.00855086472172376,0.010218006250934842,0.011885147780145924,0.00855086472172376,0.003334283058422163,0
25,7,N,0.004532535650854093,0.0049682412451198315,0.00540394683938557,0.005839652433651309,0.006275358027917048,0.00540394683938557,0.0008714111885314776,0
26,7,S,8.319603446102147e-05,8.43215775267759e-05,8.544712059253034e-05,8.657266365828478e-05,8.76982067240392e-05,8.544712059253034e-05,2.251086131508863e-06,0
27,7,C,0.01805998403803714,0.0193152272757887,0.020570470513540263,0.021825713751291824,0.023080956989043385,0.020570470513540263,0.0025104864755031223,0
